ID,Age,Weight (kg),Breed,Symptoms,Previous Health Issues,Hydration (%),Heart Rate (bpm),Respiratory Rate (bpm),Temperature (°C),Environmental Exposure,Health Risk (%),Health Risk Level,Diagnosis,Potential Causes,Recommended Diet,Consult Vet
535,3,3.9,Sphynx,"None, Loss of Appetite, Weight Loss",None,62,185,21,39.9,Both,71,High,Healthy,N/A,Renal Support Diet,Yes
536,2,3.6,Sphynx,None,Kidney Disease,54,220,35,39.7,Both,21,Moderate,Gastrointestinal Issue,"Age-related, N/A",Balanced Diet,No
537,10,6.0,Maine Coon,Difficulty Breathing,Obesity,73,209,24,40.0,Both,46,Moderate,Heart Disease,"N/A, Poor Diet","Wet food, Hydration",No
538,11,5.2,Siamese,Weight Loss,Obesity,52,216,31,37.7,Outdoor,85,Severe,Diabetes,"Poor Diet, Allergies",High-protein Diet,Yes
539,13,4.1,British Shorthair,None,None,46,185,39,39.7,Both,61,High,Obesity,"Dust, Allergies","Wet food, Hydration",Yes
540,8,7.0,Scottish Fold,"Difficulty Breathing, Weight Loss",Diabetes,72,192,36,38.1,Indoor,44,Moderate,Healthy,N/A,Low-sodium Diet,No
541,4,3.7,Siamese,"Weight Loss, Sneezing, None",Kidney Disease,56,205,27,39.2,Indoor,18,Low,Healthy,N/A,Renal Support Diet,No
542,9,3.8,Siamese,Coughing,Arthritis,73,149,31,39.6,Indoor,44,Moderate,Obesity,"Dehydration, Allergies","Wet food, Hydration",No
543,11,5.7,Bengal,"Loss of Appetite, Lethargy, Coughing",Obesity,49,163,31,39.3,Indoor,85,Severe,Healthy,N/A,Diabetic-friendly Diet,Yes
544,14,3.6,Ragdoll,"None, Difficulty Breathing, Vomiting",Diabetes,59,202,31,38.0,Outdoor,41,Moderate,Respiratory Infection,"N/A, Allergies",High-protein Diet,No
545,11,6.8,Bengal,"Weight Loss, Sneezing, Vomiting",Diabetes,50,142,39,39.8,Both,50,Moderate,Diabetes,"Allergies, Dust",Low-sodium Diet,No
546,10,6.8,Maine Coon,"Coughing, None",Heart Condition,70,174,24,37.6,Outdoor,42,Moderate,Respiratory Infection,"Dehydration, Genetic",Low-sodium Diet,No
547,14,4.0,Maine Coon,"Lethargy, Vomiting, Difficulty Breathing",None,64,168,26,38.8,Both,11,Low,Healthy,N/A,Balanced Diet,No
548,11,4.0,British Shorthair,"Sneezing, Loss of Appetite, Weight Loss",None,72,201,35,39.0,Indoor,9,Low,Healthy,N/A,"Wet food, Hydration",No
549,5,3.3,Persian,None,Arthritis,66,201,33,38.0,Both,82,Severe,Respiratory Infection,"Genetic, Stress",Balanced Diet,Yes
550,5,6.1,Bengal,None,Heart Condition,75,202,28,37.7,Indoor,42,Moderate,Obesity,"Dust, Dehydration",Balanced Diet,No
551,14,5.7,Persian,"None, Lethargy",Arthritis,66,158,22,39.5,Both,17,Low,Healthy,N/A,Renal Support Diet,No
552,13,3.2,Siamese,None,Heart Condition,60,160,28,39.4,Both,17,Low,Healthy,N/A,Renal Support Diet,No
553,7,6.5,Persian,Coughing,Arthritis,68,212,23,38.2,Outdoor,5,Low,Healthy,N/A,"Wet food, Hydration",No
554,4,4.1,Ragdoll,"Vomiting, Difficulty Breathing",Kidney Disease,74,194,31,38.5,Indoor,44,Moderate,Healthy,N/A,Balanced Diet,No
555,14,4.5,Sphynx,None,Kidney Disease,73,165,40,38.4,Indoor,29,Moderate,Gastrointestinal Issue,"Dehydration, Genetic",Balanced Diet,No
556,1,4.7,Scottish Fold,None,Diabetes,52,193,27,37.6,Both,54,High,Kidney Failure,"Genetic, Dehydration",Diabetic-friendly Diet,Yes
557,8,3.9,Scottish Fold,"Sneezing, Lethargy, Coughing",Heart Condition,69,167,34,38.9,Outdoor,94,Severe,Heart Disease,Dust,High-protein Diet,Yes
558,9,6.7,Bengal,Difficulty Breathing,Diabetes,71,211,32,39.8,Indoor,82,Severe,Heart Disease,"Genetic, Age-related","Wet food, Hydration",Yes
559,5,4.5,Bengal,"Loss of Appetite, Difficulty Breathing",Arthritis,58,143,38,39.9,Indoor,56,High,Kidney Failure,N/A,"Wet food, Hydration",Yes
560,6,4.0,Persian,"Difficulty Breathing, Vomiting",Kidney Disease,67,155,21,38.4,Indoor,36,Moderate,Diabetes,Allergies,Renal Support Diet,No
561,7,6.5,British Shorthair,None,None,48,170,22,38.2,Outdoor,43,Moderate,Healthy,N/A,High-protein Diet,No
562,3,3.5,Scottish Fold,"Sneezing, Coughing, Difficulty Breathing",None,62,146,20,38.1,Outdoor,17,Low,Healthy,N/A,Balanced Diet,No
563,7,7.0,Bengal,"Coughing, Loss of Appetite, Lethargy",Kidney Disease,68,176,26,39.6,Both,46,Moderate,Kidney Failure,"N/A, Poor Diet","Wet food, Hydration",No
564,1,4.6,Siamese,"Coughing, Lethargy",None,50,210,28,39.0,Indoor,61,High,Gastrointestinal Issue,Poor Diet,High-protein Diet,Yes
565,1,6.7,British Shorthair,None,Obesity,60,175,22,38.9,Indoor,99,Severe,Obesity,"Age-related, N/A",Balanced Diet,Yes
566,13,4.3,British Shorthair,"Sneezing, Coughing",Heart Condition,67,177,33,39.4,Indoor,75,High,Kidney Failure,"Poor Diet, Dehydration",Renal Support Diet,Yes
567,15,5.1,Persian,"Coughing, Lethargy, Loss of Appetite",Heart Condition,53,151,33,39.3,Indoor,59,High,Respiratory Infection,Dehydration,Low-sodium Diet,Yes
568,1,2.5,Scottish Fold,"Difficulty Breathing, Vomiting",Kidney Disease,53,189,33,39.1,Outdoor,76,High,Kidney Failure,Genetic,Balanced Diet,Yes
569,5,2.6,Ragdoll,None,None,54,207,26,40.0,Indoor,9,Low,Healthy,N/A,Balanced Diet,No
570,2,5.1,Persian,None,None,73,156,26,39.2,Outdoor,30,Moderate,Respiratory Infection,N/A,Diabetic-friendly Diet,No
571,3,4.9,Scottish Fold,"Vomiting, None, Lethargy",Arthritis,74,141,20,39.4,Indoor,45,Moderate,Respiratory Infection,Dust,Low-sodium Diet,No
572,1,6.4,Bengal,None,Heart Condition,46,207,38,37.6,Both,32,Moderate,Kidney Failure,Stress,Renal Support Diet,No
573,15,4.6,British Shorthair,None,Diabetes,70,188,27,38.4,Both,64,High,Obesity,"Dehydration, Stress",Balanced Diet,Yes
574,11,6.3,Maine Coon,"None, Loss of Appetite, Coughing",Diabetes,57,190,30,38.5,Outdoor,31,Moderate,Diabetes,"N/A, Poor Diet",Low-sodium Diet,No
575,12,2.7,Bengal,"Weight Loss, Difficulty Breathing, Coughing",Kidney Disease,45,185,26,39.6,Indoor,38,Moderate,Gastrointestinal Issue,Genetic,High-protein Diet,No
576,8,2.5,Siamese,None,Heart Condition,58,169,29,37.6,Outdoor,36,Moderate,Obesity,"Poor Diet, Allergies","Wet food, Hydration",No
577,10,5.2,Scottish Fold,"Sneezing, Loss of Appetite",Arthritis,52,157,29,39.7,Outdoor,52,High,Diabetes,Age-related,High-protein Diet,Yes
578,10,3.6,Bengal,"Sneezing, Weight Loss",Heart Condition,59,155,35,39.7,Both,0,Low,Healthy,N/A,"Wet food, Hydration",No
579,13,5.2,Ragdoll,None,Kidney Disease,62,152,32,38.0,Both,21,Moderate,Kidney Failure,Stress,Diabetic-friendly Diet,No
580,4,4.5,Sphynx,Vomiting,Diabetes,67,140,28,38.6,Both,100,Severe,Respiratory Infection,Allergies,"Wet food, Hydration",Yes
581,2,4.6,Maine Coon,Sneezing,Diabetes,57,194,31,39.4,Indoor,52,High,Kidney Failure,Genetic,Balanced Diet,Yes
582,3,2.5,Siamese,Loss of Appetite,None,57,184,34,39.3,Outdoor,98,Severe,Respiratory Infection,"Allergies, Genetic",Diabetic-friendly Diet,Yes
583,15,4.4,Sphynx,Sneezing,None,61,158,25,38.7,Both,83,Severe,Healthy,N/A,"Wet food, Hydration",Yes
584,9,6.3,Bengal,None,Kidney Disease,66,216,26,38.7,Indoor,99,Severe,Obesity,"Dehydration, Genetic",Diabetic-friendly Diet,Yes
585,7,3.9,Bengal,"None, Vomiting, Coughing",Kidney Disease,62,166,23,39.4,Outdoor,2,Low,Healthy,N/A,Balanced Diet,No
586,8,6.4,Sphynx,Lethargy,Arthritis,70,197,23,40.0,Outdoor,38,Moderate,Obesity,Stress,Renal Support Diet,No
587,5,3.7,Sphynx,Loss of Appetite,Arthritis,75,175,25,39.6,Both,2,Low,Healthy,N/A,Renal Support Diet,No
588,3,6.2,Siamese,None,Arthritis,50,179,26,39.0,Outdoor,77,High,Diabetes,"Dehydration, Poor Diet",Balanced Diet,Yes
589,3,2.5,Scottish Fold,Coughing,Obesity,57,154,22,39.0,Both,91,Severe,Healthy,N/A,High-protein Diet,Yes
590,12,4.5,Sphynx,"Sneezing, Difficulty Breathing, None",Kidney Disease,73,207,32,39.2,Both,26,Moderate,Kidney Failure,Stress,Renal Support Diet,No
591,12,5.2,Scottish Fold,Lethargy,Heart Condition,61,186,40,38.6,Indoor,94,Severe,Heart Disease,"N/A, Dehydration","Wet food, Hydration",Yes
592,7,2.6,Bengal,"Coughing, Loss of Appetite, Vomiting",Heart Condition,66,192,20,39.1,Indoor,21,Moderate,Diabetes,Age-related,Diabetic-friendly Diet,No
593,2,5.5,Bengal,None,None,75,196,32,38.4,Both,15,Low,Healthy,N/A,Balanced Diet,No
594,7,2.9,Bengal,None,Arthritis,66,189,37,38.0,Both,25,Moderate,Gastrointestinal Issue,"Genetic, Allergies",Balanced Diet,No
595,7,5.0,Persian,"Weight Loss, Sneezing",Heart Condition,60,141,39,38.7,Outdoor,95,Severe,Obesity,"Dehydration, Stress",Renal Support Diet,Yes
596,13,4.1,British Shorthair,"Vomiting, Sneezing, Coughing",None,48,164,37,39.5,Both,58,High,Healthy,N/A,High-protein Diet,Yes
597,11,6.0,Ragdoll,None,Obesity,68,166,29,38.5,Both,77,High,Kidney Failure,Allergies,Renal Support Diet,Yes
598,3,4.7,Ragdoll,"None, Sneezing, Loss of Appetite",Obesity,65,169,27,38.0,Outdoor,36,Moderate,Respiratory Infection,"Allergies, Stress",Renal Support Diet,No
599,2,4.4,Bengal,None,None,56,153,39,37.6,Indoor,74,High,Gastrointestinal Issue,"Stress, Allergies",Balanced Diet,Yes
600,1,5.4,Maine Coon,None,Obesity,75,192,22,38.8,Both,25,Moderate,Diabetes,"Stress, Poor Diet",Renal Support Diet,No
601,5,3.1,Sphynx,"Weight Loss, Coughing",Arthritis,67,189,31,39.3,Outdoor,9,Low,Healthy,N/A,Balanced Diet,No
602,15,4.5,British Shorthair,"None, Weight Loss",Arthritis,71,220,34,37.7,Indoor,95,Severe,Heart Disease,Genetic,"Wet food, Hydration",Yes
603,4,6.2,Bengal,"Difficulty Breathing, Weight Loss",Obesity,73,194,40,37.8,Both,51,High,Diabetes,"Poor Diet, N/A","Wet food, Hydration",Yes
604,4,3.9,Maine Coon,"Difficulty Breathing, Coughing, Vomiting",Heart Condition,75,153,25,38.5,Indoor,56,High,Healthy,N/A,Low-sodium Diet,Yes
605,4,5.9,Ragdoll,"Lethargy, None",Arthritis,68,194,30,38.5,Outdoor,89,Severe,Diabetes,"N/A, Allergies","Wet food, Hydration",Yes
606,3,7.0,Bengal,Vomiting,Diabetes,71,145,30,39.4,Outdoor,16,Low,Healthy,N/A,Diabetic-friendly Diet,No
607,2,4.9,Siamese,Difficulty Breathing,Arthritis,65,183,30,37.8,Outdoor,71,High,Gastrointestinal Issue,"Stress, Age-related",Diabetic-friendly Diet,Yes
608,5,2.5,Siamese,Lethargy,None,70,162,31,39.9,Both,96,Severe,Heart Disease,"N/A, Dust",High-protein Diet,Yes
609,6,3.1,British Shorthair,Loss of Appetite,Kidney Disease,62,174,22,39.1,Indoor,90,Severe,Gastrointestinal Issue,Dust,Low-sodium Diet,Yes
610,9,3.3,Bengal,"Loss of Appetite, Sneezing",Arthritis,60,190,20,39.7,Both,84,Severe,Respiratory Infection,"Stress, N/A",Renal Support Diet,Yes
611,10,5.7,Sphynx,"Vomiting, Loss of Appetite",Heart Condition,73,152,23,39.9,Outdoor,61,High,Kidney Failure,Age-related,High-protein Diet,Yes
612,6,3.9,Scottish Fold,None,None,69,173,25,38.1,Both,41,Moderate,Healthy,N/A,Low-sodium Diet,No
613,7,4.4,Siamese,"Weight Loss, Difficulty Breathing",None,58,153,29,39.7,Both,45,Moderate,Healthy,N/A,"Wet food, Hydration",No
614,15,5.3,Scottish Fold,None,Obesity,59,206,38,37.6,Outdoor,13,Low,Healthy,N/A,Balanced Diet,No
615,6,2.5,British Shorthair,Weight Loss,Kidney Disease,62,153,32,38.7,Outdoor,86,Severe,Respiratory Infection,"Genetic, Dehydration",Diabetic-friendly Diet,Yes
616,8,4.3,Sphynx,"Weight Loss, Lethargy",Diabetes,65,213,26,38.0,Indoor,30,Moderate,Obesity,N/A,Renal Support Diet,No
617,8,5.1,Siamese,None,Heart Condition,55,146,20,38.2,Outdoor,4,Low,Healthy,N/A,High-protein Diet,No
618,5,2.8,Siamese,"Vomiting, Sneezing",Obesity,72,165,27,38.1,Indoor,96,Severe,Respiratory Infection,Genetic,"Wet food, Hydration",Yes
619,4,5.9,Bengal,"Difficulty Breathing, Sneezing, Vomiting",Obesity,75,209,38,38.1,Outdoor,97,Severe,Respiratory Infection,"Allergies, N/A","Wet food, Hydration",Yes
620,5,3.6,British Shorthair,"Difficulty Breathing, Coughing, Vomiting",Arthritis,65,211,33,39.0,Outdoor,23,Moderate,Gastrointestinal Issue,"Stress, Age-related",Balanced Diet,No
621,10,4.8,Siamese,Vomiting,Arthritis,70,192,29,37.8,Outdoor,92,Severe,Kidney Failure,"Allergies, N/A",Low-sodium Diet,Yes
622,14,3.8,Persian,"Coughing, Sneezing",None,48,207,23,39.7,Outdoor,6,Low,Healthy,N/A,Diabetic-friendly Diet,No
623,15,3.6,Maine Coon,None,Arthritis,56,214,36,38.6,Both,84,Severe,Diabetes,Age-related,Diabetic-friendly Diet,Yes
624,4,3.1,Persian,"Difficulty Breathing, Sneezing",Diabetes,70,206,33,38.5,Both,81,Severe,Diabetes,"Dust, Allergies",High-protein Diet,Yes
625,8,4.9,Sphynx,Lethargy,Arthritis,66,216,22,39.9,Indoor,95,Severe,Heart Disease,Genetic,Balanced Diet,Yes
626,8,4.0,Maine Coon,"Loss of Appetite, None, Sneezing",Obesity,47,170,30,38.3,Indoor,68,High,Respiratory Infection,Genetic,Renal Support Diet,Yes
627,3,4.8,Bengal,"Coughing, Loss of Appetite",Diabetes,68,160,40,39.7,Indoor,22,Moderate,Respiratory Infection,N/A,Low-sodium Diet,No
628,3,3.4,Bengal,"Coughing, Loss of Appetite, Vomiting",Heart Condition,62,158,22,40.0,Indoor,51,High,Obesity,"Allergies, Stress",Renal Support Diet,Yes
629,13,6.2,Scottish Fold,"Weight Loss, Sneezing, Vomiting",Kidney Disease,72,169,36,37.8,Indoor,48,Moderate,Obesity,"Poor Diet, Allergies","Wet food, Hydration",No
630,8,3.9,Bengal,None,Heart Condition,64,203,33,39.9,Outdoor,91,Severe,Heart Disease,Age-related,Low-sodium Diet,Yes
631,5,4.2,Scottish Fold,"Difficulty Breathing, Lethargy, Coughing",None,47,155,22,39.1,Both,98,Severe,Obesity,Age-related,Diabetic-friendly Diet,Yes
632,6,3.4,Persian,"Coughing, Lethargy, Vomiting",Arthritis,52,150,22,39.0,Outdoor,75,High,Heart Disease,"Dust, Stress",Balanced Diet,Yes
633,8,3.0,Persian,None,None,45,180,33,38.4,Both,5,Low,Healthy,N/A,"Wet food, Hydration",No
634,2,6.2,Maine Coon,None,Obesity,54,156,34,38.3,Outdoor,47,Moderate,Healthy,N/A,"Wet food, Hydration",No
635,3,4.5,Scottish Fold,None,Obesity,58,144,22,39.1,Indoor,55,High,Respiratory Infection,Stress,High-protein Diet,Yes
636,2,3.1,Scottish Fold,None,Obesity,52,187,21,37.9,Both,67,High,Healthy,N/A,Renal Support Diet,Yes
637,6,6.4,Siamese,"Sneezing, None",None,59,219,20,38.7,Indoor,51,High,Gastrointestinal Issue,"Stress, Genetic",Low-sodium Diet,Yes
638,8,4.8,Ragdoll,None,None,47,174,27,38.7,Outdoor,5,Low,Healthy,N/A,"Wet food, Hydration",No
639,13,2.9,Ragdoll,Difficulty Breathing,Kidney Disease,74,174,33,38.9,Both,80,High,Respiratory Infection,"Dust, Allergies",Balanced Diet,Yes
640,11,6.6,Persian,"Vomiting, Lethargy, Loss of Appetite",Kidney Disease,72,176,28,38.1,Outdoor,30,Moderate,Diabetes,Dehydration,High-protein Diet,No
641,14,4.4,Maine Coon,None,Heart Condition,48,200,24,38.5,Both,61,High,Heart Disease,"Dust, N/A",Balanced Diet,Yes
642,13,5.0,Bengal,"Vomiting, None",Heart Condition,56,151,39,39.2,Outdoor,96,Severe,Gastrointestinal Issue,"Age-related, Allergies",Diabetic-friendly Diet,Yes
643,12,3.3,Persian,"Weight Loss, Sneezing, Difficulty Breathing",None,61,192,38,39.9,Indoor,34,Moderate,Diabetes,"Age-related, Dehydration",Renal Support Diet,No
644,8,4.6,British Shorthair,"None, Vomiting",Kidney Disease,58,155,34,38.3,Indoor,48,Moderate,Gastrointestinal Issue,Genetic,Renal Support Diet,No
645,14,3.6,Bengal,Loss of Appetite,Kidney Disease,57,187,40,38.2,Both,21,Moderate,Diabetes,"Genetic, Allergies",Diabetic-friendly Diet,No
646,5,6.0,British Shorthair,"Weight Loss, Difficulty Breathing, Coughing",None,75,217,28,38.2,Both,89,Severe,Respiratory Infection,"Stress, Dehydration",Renal Support Diet,Yes
647,9,2.9,Maine Coon,Difficulty Breathing,Kidney Disease,73,207,40,38.7,Both,44,Moderate,Gastrointestinal Issue,"Dehydration, N/A",Diabetic-friendly Diet,No
648,4,3.2,Persian,None,Arthritis,56,213,27,38.0,Indoor,34,Moderate,Respiratory Infection,"Age-related, Dust",Diabetic-friendly Diet,No
649,15,5.9,Persian,Sneezing,Arthritis,71,199,32,39.4,Indoor,94,Severe,Heart Disease,Poor Diet,Renal Support Diet,Yes
650,1,4.6,Siamese,"Coughing, Difficulty Breathing",Diabetes,62,206,26,39.2,Outdoor,62,High,Diabetes,"Allergies, N/A",Balanced Diet,Yes
651,3,6.6,Persian,None,Obesity,49,180,25,38.3,Outdoor,10,Low,Healthy,N/A,High-protein Diet,No
652,6,2.7,Maine Coon,"Loss of Appetite, Coughing",Kidney Disease,47,216,30,38.8,Indoor,26,Moderate,Diabetes,"Genetic, Stress",Diabetic-friendly Diet,No
653,9,6.4,British Shorthair,"Loss of Appetite, Lethargy",Obesity,58,164,28,39.3,Indoor,72,High,Diabetes,Dehydration,Renal Support Diet,Yes
654,15,5.5,Sphynx,None,None,66,144,37,38.5,Indoor,96,Severe,Kidney Failure,"Allergies, Age-related","Wet food, Hydration",Yes
655,15,4.8,Maine Coon,"Difficulty Breathing, None, Lethargy",Obesity,55,183,26,38.2,Outdoor,79,High,Obesity,"Dust, Allergies",Diabetic-friendly Diet,Yes
656,14,5.6,Sphynx,"Vomiting, Sneezing",Arthritis,57,170,35,38.0,Outdoor,2,Low,Healthy,N/A,Low-sodium Diet,No
657,7,3.1,Ragdoll,Loss of Appetite,Obesity,66,205,38,39.7,Indoor,60,High,Heart Disease,"Allergies, Dust",Balanced Diet,Yes
658,5,6.4,Scottish Fold,Lethargy,Arthritis,62,202,25,38.1,Indoor,71,High,Diabetes,Poor Diet,Balanced Diet,Yes
659,13,5.1,Scottish Fold,"Sneezing, Vomiting, Coughing",Heart Condition,55,171,35,39.8,Both,62,High,Kidney Failure,N/A,Renal Support Diet,Yes
660,9,4.9,Siamese,None,Obesity,49,206,24,39.8,Outdoor,68,High,Diabetes,"Poor Diet, Dehydration",Balanced Diet,Yes
661,14,6.6,Siamese,None,Diabetes,57,193,25,39.1,Outdoor,67,High,Obesity,Genetic,Diabetic-friendly Diet,Yes
662,7,2.9,Sphynx,Loss of Appetite,Heart Condition,56,199,33,37.8,Indoor,45,Moderate,Kidney Failure,Genetic,Renal Support Diet,No
663,11,5.1,Maine Coon,None,Heart Condition,62,162,29,39.7,Outdoor,61,High,Respiratory Infection,"Genetic, Dehydration",High-protein Diet,Yes
664,8,3.1,Sphynx,"Weight Loss, None",Heart Condition,47,202,32,37.6,Indoor,81,Severe,Obesity,Poor Diet,"Wet food, Hydration",Yes
665,7,5.9,British Shorthair,Difficulty Breathing,None,71,174,33,37.7,Outdoor,36,Moderate,Obesity,Allergies,Diabetic-friendly Diet,No
666,15,3.7,Scottish Fold,None,Kidney Disease,60,172,40,37.7,Both,50,Moderate,Healthy,N/A,"Wet food, Hydration",No
667,14,4.5,Maine Coon,"Lethargy, Sneezing",Heart Condition,51,156,37,39.3,Indoor,15,Low,Healthy,N/A,Diabetic-friendly Diet,No
668,6,5.2,Sphynx,Coughing,Arthritis,45,197,23,40.0,Outdoor,84,Severe,Diabetes,Poor Diet,High-protein Diet,Yes
669,12,6.8,Bengal,"Vomiting, Lethargy, Difficulty Breathing",Heart Condition,71,201,37,37.8,Both,32,Moderate,Healthy,N/A,Balanced Diet,No
670,10,5.6,Scottish Fold,"Lethargy, Difficulty Breathing, Vomiting",Diabetes,45,151,34,37.9,Indoor,1,Low,Healthy,N/A,Renal Support Diet,No
671,13,5.8,Siamese,"Coughing, Difficulty Breathing, None",Heart Condition,59,161,30,39.0,Both,60,High,Healthy,N/A,Renal Support Diet,Yes
672,6,3.0,Ragdoll,None,None,75,144,26,37.8,Indoor,9,Low,Healthy,N/A,Renal Support Diet,No
673,2,6.7,Bengal,"Sneezing, Vomiting",Kidney Disease,75,162,28,38.7,Indoor,7,Low,Healthy,N/A,Low-sodium Diet,No
674,7,4.6,Sphynx,"Lethargy, Sneezing, Loss of Appetite",Heart Condition,64,214,28,38.0,Indoor,16,Low,Healthy,N/A,High-protein Diet,No
675,1,5.4,Ragdoll,None,None,72,210,20,38.2,Indoor,90,Severe,Diabetes,Dust,Renal Support Diet,Yes
676,14,5.8,British Shorthair,"None, Lethargy",Arthritis,70,220,33,39.7,Indoor,84,Severe,Healthy,N/A,Diabetic-friendly Diet,Yes
677,3,2.9,Maine Coon,"None, Lethargy, Weight Loss",Diabetes,56,157,20,38.1,Both,51,High,Respiratory Infection,"Genetic, Dehydration","Wet food, Hydration",Yes
678,11,5.1,Maine Coon,"Difficulty Breathing, Loss of Appetite, Weight Loss",Arthritis,65,197,34,39.3,Indoor,1,Low,Healthy,N/A,Balanced Diet,No
679,6,6.1,Sphynx,None,Kidney Disease,75,199,21,39.7,Both,45,Moderate,Obesity,Poor Diet,Diabetic-friendly Diet,No
680,1,4.6,Sphynx,Vomiting,Diabetes,57,173,20,39.0,Outdoor,66,High,Heart Disease,"Age-related, Poor Diet",High-protein Diet,Yes
681,11,3.1,Bengal,"Loss of Appetite, None, Vomiting",Diabetes,53,204,23,38.4,Indoor,8,Low,Healthy,N/A,High-protein Diet,No
682,1,5.1,Persian,Lethargy,Kidney Disease,55,160,27,38.6,Both,5,Low,Healthy,N/A,Diabetic-friendly Diet,No
683,5,3.7,Persian,None,Arthritis,68,180,22,37.9,Indoor,32,Moderate,Obesity,N/A,Balanced Diet,No
684,12,4.5,Bengal,None,Obesity,49,161,35,38.6,Outdoor,83,Severe,Respiratory Infection,"Dehydration, Allergies",High-protein Diet,Yes
685,7,3.8,Ragdoll,"Difficulty Breathing, None",Diabetes,54,181,34,39.4,Outdoor,52,High,Respiratory Infection,"N/A, Dehydration",Renal Support Diet,Yes
686,14,3.9,British Shorthair,None,None,46,166,27,38.9,Outdoor,24,Moderate,Kidney Failure,Genetic,High-protein Diet,No
687,14,3.1,Bengal,"None, Coughing, Weight Loss",Obesity,52,140,35,39.0,Both,28,Moderate,Diabetes,"N/A, Poor Diet","Wet food, Hydration",No
688,8,6.8,Ragdoll,Loss of Appetite,Arthritis,53,146,27,37.7,Outdoor,34,Moderate,Obesity,"Stress, Genetic",High-protein Diet,No
689,9,6.2,Maine Coon,None,Kidney Disease,62,150,37,38.4,Outdoor,83,Severe,Heart Disease,"Poor Diet, Genetic",Renal Support Diet,Yes
690,9,4.4,Sphynx,Difficulty Breathing,Kidney Disease,57,168,25,39.7,Indoor,60,High,Gastrointestinal Issue,Genetic,Low-sodium Diet,Yes
691,3,6.0,Sphynx,None,Heart Condition,48,141,35,38.4,Outdoor,65,High,Diabetes,N/A,Diabetic-friendly Diet,Yes
692,13,5.6,British Shorthair,Difficulty Breathing,Heart Condition,45,161,33,37.9,Outdoor,68,High,Heart Disease,"Stress, Genetic",Renal Support Diet,Yes
693,9,5.9,Ragdoll,"Loss of Appetite, Weight Loss",Diabetes,61,202,25,38.0,Both,42,Moderate,Diabetes,Stress,Balanced Diet,No
694,7,4.2,Persian,"Sneezing, Difficulty Breathing, Weight Loss",Heart Condition,50,205,25,39.5,Indoor,81,Severe,Gastrointestinal Issue,Dust,Balanced Diet,Yes
695,14,3.0,Maine Coon,None,Heart Condition,52,207,20,38.9,Outdoor,69,High,Kidney Failure,"Age-related, Genetic",Low-sodium Diet,Yes
696,11,3.5,Siamese,"Weight Loss, Vomiting",Obesity,61,146,20,38.1,Both,22,Moderate,Obesity,"Age-related, Genetic",Diabetic-friendly Diet,No
697,2,7.0,Ragdoll,"Coughing, Lethargy",Arthritis,46,171,20,38.0,Indoor,40,Moderate,Respiratory Infection,"Dehydration, Poor Diet",Renal Support Diet,No
698,9,5.0,Sphynx,None,Obesity,54,162,40,38.4,Both,69,High,Diabetes,"Genetic, Stress",Balanced Diet,Yes
699,7,3.5,Bengal,None,Kidney Disease,62,203,28,39.2,Both,37,Moderate,Diabetes,Stress,Renal Support Diet,No
700,15,3.1,Maine Coon,Weight Loss,None,54,185,35,39.4,Both,13,Low,Healthy,N/A,Balanced Diet,No
701,10,6.2,British Shorthair,None,Heart Condition,59,203,33,37.7,Indoor,33,Moderate,Respiratory Infection,"Genetic, Dust",Diabetic-friendly Diet,No
702,5,4.7,Bengal,None,None,69,141,29,37.7,Outdoor,59,High,Kidney Failure,Dust,Renal Support Diet,Yes
703,2,3.9,Ragdoll,None,None,60,210,30,39.1,Outdoor,99,Severe,Healthy,N/A,High-protein Diet,Yes
704,11,5.2,Bengal,"Vomiting, Sneezing",Arthritis,58,204,21,38.1,Both,40,Moderate,Heart Disease,"Stress, Dust","Wet food, Hydration",No
705,10,6.5,British Shorthair,"None, Sneezing",None,57,179,30,39.9,Indoor,18,Low,Healthy,N/A,Renal Support Diet,No
706,13,2.7,Ragdoll,"Weight Loss, Sneezing",Arthritis,50,173,34,37.8,Outdoor,22,Moderate,Heart Disease,"Genetic, Allergies",Renal Support Diet,No
707,1,3.9,Ragdoll,None,Obesity,59,150,36,37.6,Outdoor,0,Low,Healthy,N/A,Balanced Diet,No
708,5,3.8,Siamese,None,Kidney Disease,48,168,28,37.8,Outdoor,65,High,Kidney Failure,"Genetic, Dehydration",Diabetic-friendly Diet,Yes
709,10,3.7,Persian,"Weight Loss, Difficulty Breathing, None",Obesity,70,213,27,38.7,Outdoor,48,Moderate,Gastrointestinal Issue,N/A,Balanced Diet,No
710,14,6.0,Ragdoll,"Sneezing, None, Difficulty Breathing",Obesity,61,211,38,39.2,Indoor,2,Low,Healthy,N/A,High-protein Diet,No
711,4,3.4,British Shorthair,"Sneezing, Vomiting",Obesity,47,196,29,38.5,Both,71,High,Obesity,"Genetic, Allergies",Diabetic-friendly Diet,Yes
712,10,4.6,Maine Coon,"Vomiting, None, Weight Loss",Arthritis,47,156,34,38.0,Outdoor,93,Severe,Obesity,"Allergies, Dehydration",Diabetic-friendly Diet,Yes
713,15,4.7,Scottish Fold,"Vomiting, Lethargy",Obesity,45,183,25,39.3,Outdoor,57,High,Respiratory Infection,Dehydration,"Wet food, Hydration",Yes
